N,ns_per_cell,react,vel_step,dens_step
128, 88.588308, 0.352173, 69.695488, 18.540646
128, 83.439752, 0.257907, 64.747022, 18.434824
128, 83.759653, 0.258882, 64.994531, 18.506240
128, 83.660537, 0.258288, 64.920855, 18.481393
128, 83.884758, 0.258865, 65.116784, 18.509109
128, 83.138868, 0.257392, 64.513488, 18.367988
128, 83.496792, 0.258129, 64.785972, 18.452692
128, 83.667781, 0.260790, 64.914648, 18.492343
128, 83.037957, 0.257223, 64.434580, 18.346154
128, 83.761417, 0.259837, 64.994394, 18.507185
256, 88.213838, 0.549313, 67.338597, 20.325928
256, 87.160743, 0.518557, 67.528443, 19.113744
256, 87.183410, 0.517135, 67.583722, 19.082552
256, 87.571735, 0.505125, 67.907842, 19.158767
256, 86.987607, 0.517161, 67.471787, 18.998659
256, 87.398976, 0.520253, 67.727597, 19.151126
256, 87.668151, 0.523675, 67.952332, 19.192144
256, 86.700323, 0.463275, 67.270787, 18.966261
256, 87.474807, 0.417160, 67.905126, 19.152520
256, 87.563863, 0.417314, 67.982197, 19.164352
512, 97.540902, 0.631296, 75.915105, 20.994500
512, 90.663101, 0.484361, 70.206233, 19.972507
512, 92.931160, 0.523982, 71.843498, 20.563681
512, 90.914358, 0.486605, 70.302301, 20.125452
512, 91.581865, 0.497523, 70.782308, 20.302035
512, 92.760883, 0.527709, 71.671176, 20.561998
512, 90.358364, 0.477803, 69.939814, 19.940747
512, 92.514183, 0.520223, 71.556135, 20.437825
512, 91.105186, 0.473120, 70.528480, 20.103586
512, 90.996157, 0.507569, 70.254805, 20.233783
1024, 124.334210, 0.676498, 97.068716, 26.588995
1024, 119.686262, 0.758298, 92.500147, 26.427817
1024, 118.777653, 0.755971, 91.798027, 26.223655
1024, 120.945722, 0.759755, 93.737568, 26.448400
1024, 117.445336, 0.705910, 90.525905, 26.213521
1024, 120.125136, 0.746458, 93.118510, 26.260168
1024, 113.446967, 0.683794, 87.350494, 25.412678
1024, 104.158574, 0.418830, 79.753015, 23.986729
1024, 104.656964, 0.428504, 80.100904, 24.127555
1024, 110.657179, 0.456256, 84.610618, 25.590305
2048, 155.426984, 0.608564, 127.864313, 26.954108
2048, 155.435995, 0.624915, 127.407268, 27.403813
2048, 155.385651, 0.614488, 127.619139, 27.152024
2048, 154.933305, 0.657296, 127.396078, 26.879931
2048, 156.068794, 0.667384, 128.014601, 27.386809
2048, 155.551036, 0.624744, 127.528898, 27.397393
2048, 156.420378, 0.671771, 128.312068, 27.436539
2048, 155.366665, 0.648420, 127.394737, 27.323508
2048, 155.989191, 0.628503, 127.953197, 27.407492
2048, 156.080771, 0.676945, 128.363095, 27.040732
