N,ns_per_cell,react_vel_step,dens_step
128, 346.242246, 0.629257, 270.572627, 75.040361
128, 341.952477, 0.625428, 266.643265, 74.683783
128, 342.683606, 0.625140, 267.157627, 74.900839
128, 343.811207, 0.626849, 268.088343, 75.096015
128, 341.261567, 0.625125, 266.019853, 74.616589
128, 340.969994, 0.622441, 265.819732, 74.527821
128, 341.795262, 0.626283, 266.483091, 74.685888
128, 341.881291, 0.628948, 266.505727, 74.746617
128, 342.356004, 0.625423, 266.903472, 74.827109
128, 340.957790, 0.624085, 265.822541, 74.511164
256, 368.194591, 0.663618, 288.055084, 79.475889
256, 367.576923, 0.669407, 287.486910, 79.420606
256, 368.630315, 0.665124, 288.340693, 79.624498
256, 367.729406, 0.663148, 287.691085, 79.375173
256, 368.509516, 0.665284, 288.265847, 79.578385
256, 367.234665, 0.666704, 287.247942, 79.320020
256, 367.289324, 0.664644, 287.246230, 79.378451
256, 367.223239, 0.662206, 287.275228, 79.285805
256, 367.333332, 0.663155, 287.275418, 79.394759
256, 368.152008, 0.665741, 287.976297, 79.509970
512, 389.131948, 0.690230, 306.077370, 82.364348
512, 389.725077, 0.693334, 306.397853, 82.633891
512, 390.681236, 0.691555, 307.456250, 82.533431
512, 389.258189, 0.689545, 306.113387, 82.455257
512, 388.669607, 0.691300, 305.587375, 82.390932
512, 390.164130, 0.687950, 307.056828, 82.419352
512, 388.675414, 0.688180, 305.682399, 82.304835
512, 388.928503, 0.687390, 305.804721, 82.436393
512, 388.688684, 0.689572, 305.659895, 82.339217
512, 388.919351, 0.688427, 305.783806, 82.447118
1024, 534.920282, 0.718822, 424.421977, 109.779483
1024, 536.310512, 0.709840, 425.566072, 110.034601
1024, 535.275437, 0.709564, 425.044393, 109.521481
1024, 533.997755, 0.711303, 423.778070, 109.508382
1024, 534.102192, 0.710416, 423.822211, 109.569565
1024, 535.516005, 0.708785, 425.301932, 109.505288
1024, 534.325600, 0.716978, 424.039563, 109.569060
1024, 534.215246, 0.708023, 424.026836, 109.480387
1024, 534.373861, 0.713124, 424.058322, 109.602415
1024, 534.250389, 0.714645, 423.962153, 109.573590
2048, 543.844645, 1.044665, 430.704381, 112.095599
2048, 541.602677, 1.023317, 428.842262, 111.737099
2048, 542.585017, 0.976954, 430.032350, 111.575713
2048, 541.468781, 1.024755, 428.739451, 111.704576
2048, 542.029757, 1.023486, 429.343308, 111.662962
2048, 541.213313, 1.024638, 428.538726, 111.649950
2048, 542.625346, 1.057067, 429.086863, 112.481416
2048, 541.642727, 1.020756, 428.969253, 111.652718
2048, 541.724774, 1.055789, 428.932656, 111.736328
2048, 542.323844, 1.023458, 429.454040, 111.846347
